Costiera Amalfitana	Salerno	Hotel Polo Nautico	https://www.hotelpolonautico.it	Hotel 4 stelle	n/d	30 camere unico hotel sul lungomare di Salerno vista mare indipendente
Salerno	Salerno	Albergo Santa Rosa	https://www.albergosantarosa.it	Albergo / B&B	info@albergosantarosa.it	Corso Vittorio Emanuele 14 vicino stazione e porto gestione familiare
Salerno	Salerno	Hotel Montestella 1914	https://montestella1914.it	Hotel 3 stelle	info@montestella1914.it	47 camere Corso Vittorio Emanuele 156 zona pedonale gestione familiare storica
Salerno	Salerno	Grand Hotel Salerno	https://www.grandhotelsalerno.com	Hotel 4 stelle	n/d	Lungomare Tafuri 1 congressi cerimonie benessere vista mare indipendente
Salerno	Salerno	Albergo del Centro Storico	http://albergodelcentrostorico.com	Albergo / B&B	n/d	Piccola struttura nel centro storico
Salerno	Salerno	B&B Salerno Antica	https://www.salernoantica.com	B&B dimora storica	n/d	Ex convento del 1500 Via Masuccio Salernitano 8 centro storico
Salerno	Salerno	B&B In Centro Storico Salerno	https://www.incentrostoricosalerno.it	B&B	n/d	Dimora su Piazza Sant'Agostino centro storico
Salerno	Salerno	Salerno Centro dimora storica	https://www.salernocentro.it	B&B dimora storica	n/d	Convento del XVI secolo posizione molto centrale
Salerno	Salerno	Salerno Incoming DMC	https://www.salernoincoming.it	Tour operator / DMC incoming	tour@salernoincoming.it	Via Luigi Guercio 277 oltre 20 anni soggiorni tour transfer Salerno-Costiera-Cilento
Salerno	Salerno	Campania Incoming	https://www.campaniaincoming.it	Tour operator incoming	info@campaniaincoming.it	Tour ed itinerari esperienziali in tutta la Campania partner B2B
Salerno	Cava de' Tirreni	Hotel Scapolatiello	https://www.hotelscapolatiello.it	Hotel	direzione@hotelscapolatiello.it	Piazza Risorgimento 1 Badia di Cava terrazza panoramica piscina
Salerno	Cava de' Tirreni	Hotel Victoria Maiorino	http://www.victoria-hotel.it	Hotel	info@victoria-hotel.it	Corso Mazzini 4 vicino centro storico famiglia albergatori dal 1886
Salerno	Cava de' Tirreni	Montecaruso Hotel Diecimare	https://montecaruso.it	Hotel / banqueting	info@montecaruso.it	Via San Felice Secondo piscina tennis ristorante eventi cerimonie
Salerno	Cava de' Tirreni	Agriturismo Sant'Anna	https://s.anna1939.com	Agriturismo	n/d	Agriturismo con ristorante e maneggio contesto rurale collinare
Salerno	Cava de' Tirreni	Mondo Trezza Travel	https://www.trezzatravel.it	Agenzia viaggi / incoming	info@mondotrezzatravel.it	Via Alfonso Balzico 51 servizi incoming agenzia locale
Costiera Amalfitana	Vietri sul Mare	Lloyd's Baia Hotel	https://www.lloydsbaiahotel.it	Hotel 4 stelle	info@lloydsbaiahotel.it	Via de Marinis 2 a picco sulle rocce vista Golfo wedding venue
Costiera Amalfitana	Vietri sul Mare	Hotel Raito	https://www.hotelraito.it	Hotel 5 stelle	reservations@hotelraito.it	Via Nuova Raito 9 lusso gruppo RHC vista costiera riaperto 2026
Costiera Amalfitana	Vietri sul Mare	Hotel Bristol	https://www.hotelbristolvietri.it	Hotel 4 stelle	info@hotelbristolvietri.com	Via Colombo 2 ascensore privato per solarium e giardino
Costiera Amalfitana	Vietri sul Mare	Hotel Vietri Coast	https://www.hotelvietricoast.com	Hotel 3 stelle	info@hotelvietricoast.it	16 camere Via Costabile 31 vista mare suite con idromassaggio
Costiera Amalfitana	Vietri sul Mare	Hotel Voce del Mare	https://vocedelmare.it	Hotel	direzione@vocedelmare.it	Via Costiera Amalfitana 21 ristorante relax fronte mare
Costiera Amalfitana	Positano	Le Sirenuse	https://sirenuse.it	Hotel 5 stelle lusso	info@sirenuse.it	Villa '700 famiglia Sersale 58 camere ristorante stellato La Sponda icona lusso indipendente
Costiera Amalfitana	Positano	Il San Pietro di Positano	https://www.ilsanpietro.com	Hotel 5 stelle lusso	info@ilsanpietro.it	Relais & Chateaux 57 camere strapiombo sul mare spiaggia privata ristorante stellato Zass
Costiera Amalfitana	Positano	Villa Treville	https://villatreville.com	Hotel 5 stelle lusso boutique	contact@villatreville.com	Ex residenza Zeffirelli 4 ville giardini scogliera ultra-luxury
Costiera Amalfitana	Positano	Hotel Le Agavi	https://www.leagavi.it	Hotel 5 stelle lusso	booking@leagavipositano.com	Terrazze panoramiche funicolare privata alla spiaggia lusso
Costiera Amalfitana	Positano	Hotel Villa Franca	https://www.villafrancahotel.it	Hotel 5 stelle	info@villafrancahotel.it	Collina sopra la baia rooftop con piscina Small Luxury Hotels
Costiera Amalfitana	Positano	Hotel Palazzo Murat	https://palazzomurat.it	Hotel 4 stelle	info@palazzomurat.it	Palazzo storico '700 cuore di Positano giardino botanico boutique
Costiera Amalfitana	Positano	Hotel Covo dei Saraceni	https://www.covodeisaraceni.it	Hotel 5 stelle	info@covodeisaraceni.it	Accesso diretto a Marina Grande e al molo lusso indipendente
Costiera Amalfitana	Positano	Villa Magia	https://villamagiapositano.com	Boutique resort lusso	n/d	Ex torre di avvistamento '700 boutique gestione familiare piscina vista mare
Costiera Amalfitana	Praiano	Casa Angelina	https://www.casangelina.com	Hotel 5 stelle lusso boutique	reservations@casangelina.com	Leading Hotels of the World 36 camere design vista Positano Capri ristorante stellato
Costiera Amalfitana	Praiano	Hotel Tramonto d'Oro	https://www.tramontodoro.it	Hotel 4 stelle	info@tramontodoro.it	Famiglia Esposito 38 camere panoramica piscina rooftop indipendente
Costiera Amalfitana	Praiano	Hotel Onda Verde	https://www.ondaverde.it	Hotel 4 stelle	info@hotelondaverde.com	A picco sul mare vicino spiaggia e borgo piscina gestione familiare
Costiera Amalfitana	Praiano	Hotel Margherita	https://www.hotelmargherita.info	Hotel 4 stelle	n/d	Gestione familiare vista Costiera terrazza solarium idromassaggio
Costiera Amalfitana	Furore	Furore Grand Hotel	https://www.furoregrandhotel.com	Hotel 5 stelle lusso	n/d	Small Luxury Hotels terrazza sul mare spa piscina design minimalista lusso
Costiera Amalfitana	Conca dei Marini	Monastero Santa Rosa	https://monasterosantarosa.com	Hotel 5 stelle lusso	info@monasterosantarosa.com	Ex monastero '600 20 camere spa premiata giardini terrazzati ultra-luxury
Costiera Amalfitana	Conca dei Marini	Hotel Belvedere	https://belvederehotel.it	Hotel 4 stelle	belvedere@belvederehotel.it	A picco sulla scogliera piscina acqua marina accesso privato spiaggia
Costiera Amalfitana	Amalfi	Hotel Santa Caterina	https://www.hotelsantacaterina.it	Hotel 5 stelle lusso	info@hotelsantacaterina.it	Leading Hotels of the World storico sul mare ristorante stellato Glicine ascensore spiaggia ultra-luxury
Costiera Amalfitana	Amalfi	Borgo Santandrea	https://borgosantandrea.it	Hotel 5 stelle lusso	info@borgosantandrea.it	Relais & Chateaux 29 camere 16 suite spiaggia privata riaperto 2022 ultra-luxury
Costiera Amalfitana	Amalfi	Hotel Marina Riviera	https://www.marinariviera.it	Hotel 4 stelle	info@marinariviera.it	Lungomare ingresso Amalfi vista mare gestione familiare
Costiera Amalfitana	Amalfi	Hotel Luna Convento	https://www.lunahotel.it	Hotel 4 stelle	info@lunahotel.it	Ex convento del 1200 chiostro arabo-normanno piscina acqua marina indipendente
Costiera Amalfitana	Amalfi	Hotel Residence	https://www.residencehotel-amalfi.it	Hotel 4 stelle	n/d	Palazzo '700 sul Duomo 27 camere vista mare ristrutturato 2010
Costiera Amalfitana	Amalfi	Hotel Lidomare	http://www.lidomare.it	Hotel 3 stelle / B&B	info@lidomare.it	Edificio del 1300 vicino al Duomo 18 camere conduzione familiare
Costiera Amalfitana	Positano	Lucibello	https://www.lucibello.it	Tour operator / escursioni in barca	info@lucibello.it	Dal 1936 noleggio e tour privati in barca Capri e Costiera charter yacht
Costiera Amalfitana	Positano	L'Uomo e il Mare Plaghia Charter	https://www.escursioniluomoeilmare.it	Tour operator / escursioni in barca	info@plaghiacharter.it	Escursioni e tour privati in barca lungo la Costiera
Costiera Amalfitana	Amalfi	Amalfi Coast Destination	https://www.amalficoastdestination.com	Tour operator / DMC incoming	n/d	DMC Amalfi shore excursions transfer tour su misura food wine incoming luxury
Costiera Amalfitana	Ravello	Palazzo Avino	https://www.palazzoavino.com	Hotel 5 stelle lusso	info@palazzoavino.com	Palazzo Sasso XII sec 43 camere 10 suite vista golfo Leading Hotels ristorante stellato
Costiera Amalfitana	Ravello	Hotel Villa Cimbrone	https://www.hotelvillacimbrone.com	Hotel 5 stelle / dimora storica	info@villacimbrone.it	Dimora XII sec giardini celebri hotel de charme panoramica luxury
Costiera Amalfitana	Ravello	Hotel Rufolo	https://hotelrufolo.it	Hotel 4 stelle	info@hotelrufolo.it	Accanto a Villa Rufolo piscina con vista centro Ravello
Costiera Amalfitana	Ravello	Hotel Graal	https://www.hotelgraal.it	Hotel 4 stelle	info@hotelgraal.it	Via della Repubblica vista mare piscina ristorante
